Molecule ChEMBL ID,Smiles,Standard Value,Standard Units
CHEMBL607568,Cc1cccc(C)c1Sc1[nH]c2nc(N)nc(N)c2c1C.Cl,2150.0,nM
CHEMBL293522,O=P(O)(O)C(O)(CCc1cccnc1)P(=O)(O)O,200000.0,nM
CHEMBL278041,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,1000.0,nM
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,8500.0,nM
CHEMBL190333,OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1,800.0,nM
CHEMBL261432,O=P(O)(O)C(CNC1CCCCC1)P(=O)(O)O,57300.0,nM
CHEMBL260601,CCCCCCCCNCC(P(=O)(O)O)P(=O)(O)O,2600.0,nM
CHEMBL1774300,C=CO[C@]1(C)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,40000.0,nM
CHEMBL1774453,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CC2CCCCC2)[C@H](C)[C@@H](O)[C@]1(C)O,600.0,nM
CHEMBL834,NCCC(O)(P(=O)(O)O)P(=O)(O)O,35600.0,nM
CHEMBL592044,Br.CCn1c2c(c(=N)c3c1CCC3)CCCC2,30000.0,nM
CHEMBL319952,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCCCC1,30000.0,nM
CHEMBL589922,CCc1ccc(CNCC(O)c2ccccc2)cc1.Cl,30000.0,nM
